,dBAS,PM25,PM10
2018-04-13 10:23:19,70.9177105263,1198,127
2018-04-13 10:24:19,70.9855208333,1211,150
2018-04-13 10:25:19,75.6609583333,1147,130
2018-04-13 10:26:19,76.1473958333,1227,144
2018-04-13 10:27:19,71.0414791667,1363,176
2018-04-13 10:28:19,73.7638958333,1391,168
2018-04-13 10:29:19,76.46775,1311,152
2018-04-13 10:30:19,73.7284583333,1452,188
2018-04-13 10:31:19,67.1814375,1411,155
2018-04-13 10:32:19,66.176625,1295,142
2018-04-13 10:33:19,70.9895833333,1291,136
2018-04-13 10:34:19,67.1753125,1361,154
2018-04-13 10:35:19,69.9102922756,1288,150
2018-04-13 10:36:19,74.4424166667,1290,142
2018-04-13 10:37:19,76.4183125,1245,145
2018-04-13 10:38:19,72.8129375,1174,137
2018-04-13 10:39:19,70.645625,1201,135
2018-04-13 10:40:19,70.3592291667,1319,131
2018-04-13 10:41:19,71.2803541667,1424,133
2018-04-13 10:42:19,70.6841875,1422,119
2018-04-13 10:43:19,70.7611666667,1485,133
2018-04-13 10:44:19,70.937,1407,136
2018-04-13 10:45:19,71.7097916667,1327,138
2018-04-13 10:46:19,74.611875,1117,123
2018-04-13 10:47:19,70.9607708333,1129,129
2018-04-13 10:48:19,70.3059583333,1126,126
2018-04-13 10:49:19,67.6666666667,1106,144
2018-04-13 10:50:19,71.2423958333,1147,118
2018-04-13 10:51:19,77.1554070981,1281,124
2018-04-13 10:52:19,70.8827708333,1324,156
2018-04-13 10:53:19,71.2456666667,1571,177
2018-04-13 10:54:19,71.4255416667,1500,165
2018-04-13 10:55:19,74.5711875,1453,155
2018-04-13 10:56:19,73.6303333333,1643,167
2018-04-13 10:57:19,73.0854166667,2124,166
2018-04-13 10:58:19,74.6355625,2021,253
2018-04-13 10:59:19,73.3904583333,1886,242
2018-04-13 11:00:19,72.6967291667,1809,257
2018-04-13 11:01:19,76.1035208333,1498,198
2018-04-13 11:02:19,73.988625,1517,178
2018-04-13 11:03:19,72.796375,1561,177
2018-04-13 11:04:19,69.0376875,1350,162
2018-04-13 11:05:19,67.9730625,1349,153
2018-04-13 11:06:19,67.9879791667,1240,154
2018-04-13 11:07:19,67.8492484342,1194,127
2018-04-13 11:08:19,69.3422916667,1402,145
2018-04-13 11:09:19,67.9251458333,1315,136
2018-04-13 11:10:19,67.967625,1373,150
2018-04-13 11:11:19,71.963375,1259,150
2018-04-13 11:12:19,73.5764375,1173,139
2018-04-13 11:13:19,73.7725416667,1298,149
2018-04-13 11:14:19,68.0498333333,1246,142
2018-04-13 11:15:19,67.71775,1404,177
2018-04-13 11:16:19,68.4797708333,1260,135
2018-04-13 11:17:19,68.575125,1367,157
2018-04-13 11:18:19,68.681375,1556,184
2018-04-13 11:19:19,69.1729166667,1817,195
2018-04-13 11:20:19,69.6991666667,1842,221
2018-04-13 11:21:19,67.4142291667,1760,217
2018-04-13 11:22:19,61.1760833333,1723,231
2018-04-13 11:23:19,60.9438622129,1741,276
2018-04-13 11:24:19,60.9903541667,1555,241
2018-04-13 11:25:19,59.7880625,1597,210
2018-04-13 11:26:19,59.2292291667,1441,174
2018-04-13 11:27:19,61.1190416667,1384,182
