,dBAS,timestamp,PM25,PM10,timestamps,time
0,63.74,2018-03-30 10:30:10.890,2256.0,232.0,1523628642.0,2018-03-30 10:30:42.000
1,69.59,2018-03-30 10:30:40.220,2006.0,196.0,1523628701.0,2018-03-30 10:31:41.000
3,62.82,2018-03-30 10:32:01.860,1435.0,158.0,1523628820.0,2018-03-30 10:33:40.000
4,62.69,2018-03-30 10:32:57.990,1340.0,159.0,1523628879.0,2018-03-30 10:34:39.000
5,63.6,2018-03-30 10:33:54.120,1253.0,129.0,1523628938.0,2018-03-30 10:35:38.000
6,63.21,2018-03-30 10:34:50.250,1470.0,162.0,1523628997.0,2018-03-30 10:36:37.000
7,62.9,2018-03-30 10:35:46.380,1373.0,167.0,1523629056.0,2018-03-30 10:37:36.000
8,62.86,2018-03-30 10:36:42.520,1669.0,258.0,1523629115.0,2018-03-30 10:38:35.000
9,62.43,2018-03-30 10:37:38.650,1428.0,177.0,1523629174.0,2018-03-30 10:39:34.000
10,62.98,2018-03-30 10:38:34.780,1469.0,205.0,1523629233.0,2018-03-30 10:40:33.000
11,63.46,2018-03-30 10:39:30.910,1320.0,147.0,1523629292.0,2018-03-30 10:41:32.000
12,62.8,2018-03-30 10:40:27.040,1243.0,136.0,1523629351.0,2018-03-30 10:42:31.000
13,63.16,2018-03-30 10:41:23.180,1240.0,132.0,1523629410.0,2018-03-30 10:43:30.000
14,66.36,2018-03-30 10:42:19.310,1198.0,127.0,1523629470.0,2018-03-30 10:44:30.000
15,62.59,2018-03-30 10:43:15.440,1211.0,150.0,1523629529.0,2018-03-30 10:45:29.000
16,68.61,2018-03-30 10:44:11.570,1147.0,130.0,1523629588.0,2018-03-30 10:46:28.000
17,67.16,2018-03-30 10:45:07.700,1227.0,144.0,1523629647.0,2018-03-30 10:47:27.000
18,67.63,2018-03-30 10:46:03.840,1363.0,176.0,1523629706.0,2018-03-30 10:48:26.000
19,65.23,2018-03-30 10:46:59.970,1391.0,168.0,1523629765.0,2018-03-30 10:49:25.000
20,65.11,2018-03-30 10:47:56.100,1311.0,152.0,1523629824.0,2018-03-30 10:50:24.000
21,65.44,2018-03-30 10:48:52.230,1452.0,188.0,1523629883.0,2018-03-30 10:51:23.000
22,66.69,2018-03-30 10:49:48.360,1411.0,155.0,1523629942.0,2018-03-30 10:52:22.000
23,65.15,2018-03-30 10:50:44.500,1295.0,142.0,1523630001.0,2018-03-30 10:53:21.000
24,66.06,2018-03-30 10:51:40.630,1291.0,136.0,1523630061.0,2018-03-30 10:54:21.000
25,67.7,2018-03-30 10:52:36.760,1361.0,154.0,1523630120.0,2018-03-30 10:55:20.000
26,67.25,2018-03-30 10:53:32.890,1288.0,150.0,1523630179.0,2018-03-30 10:56:19.000
27,67.51,2018-03-30 10:54:29.030,1290.0,142.0,1523630238.0,2018-03-30 10:57:18.000
28,68.23,2018-03-30 10:55:25.160,1245.0,145.0,1523630297.0,2018-03-30 10:58:17.000
29,66.82,2018-03-30 10:56:21.290,1174.0,137.0,1523630356.0,2018-03-30 10:59:16.000
30,67.62,2018-03-30 10:57:17.420,1201.0,135.0,1523630415.0,2018-03-30 11:00:15.000
31,70.3,2018-03-30 10:58:13.550,1319.0,131.0,1523630474.0,2018-03-30 11:01:14.000
32,62.66,2018-03-30 10:59:09.690,1424.0,133.0,1523630533.0,2018-03-30 11:02:13.000
33,69.43,2018-03-30 11:00:05.820,1422.0,119.0,1523630593.0,2018-03-30 11:03:13.000
34,68.77,2018-03-30 11:01:01.950,1485.0,133.0,1523630652.0,2018-03-30 11:04:12.000
35,69.11,2018-03-30 11:01:58.080,1407.0,136.0,1523630711.0,2018-03-30 11:05:11.000
36,65.97,2018-03-30 11:02:54.210,1327.0,138.0,1523630770.0,2018-03-30 11:06:10.000
37,64.84,2018-03-30 11:03:50.350,1117.0,123.0,1523630829.0,2018-03-30 11:07:09.000
38,62.37,2018-03-30 11:04:46.480,1129.0,129.0,1523630888.0,2018-03-30 11:08:08.000
39,64.7,2018-03-30 11:05:42.610,1126.0,126.0,1523630947.0,2018-03-30 11:09:07.000
40,63.88,2018-03-30 11:06:38.740,1106.0,144.0,1523631006.0,2018-03-30 11:10:06.000
41,65.03,2018-03-30 11:07:34.870,1147.0,118.0,1523631066.0,2018-03-30 11:11:06.000
42,63.99,2018-03-30 11:08:31.010,1281.0,124.0,1523631125.0,2018-03-30 11:12:05.000
43,65.0,2018-03-30 11:09:27.140,1324.0,156.0,1523631184.0,2018-03-30 11:13:04.000
44,64.32,2018-03-30 11:10:23.270,1571.0,177.0,1523631243.0,2018-03-30 11:14:03.000
45,65.49,2018-03-30 11:11:19.400,1500.0,165.0,1523631302.0,2018-03-30 11:15:02.000
46,65.86,2018-03-30 11:12:15.530,1453.0,155.0,1523631361.0,2018-03-30 11:16:01.000
47,65.16,2018-03-30 11:13:11.670,1643.0,167.0,1523631420.0,2018-03-30 11:17:00.000
48,66.12,2018-03-30 11:14:07.800,2124.0,166.0,1523631479.0,2018-03-30 11:17:59.000
49,65.57,2018-03-30 11:15:03.930,2021.0,253.0,1523631538.0,2018-03-30 11:18:58.000
50,66.13,2018-03-30 11:16:00.060,1886.0,242.0,1523631598.0,2018-03-30 11:19:58.000
51,64.52,2018-03-30 11:16:56.190,1809.0,257.0,1523631657.0,2018-03-30 11:20:57.000
52,64.86,2018-03-30 11:17:52.330,1498.0,198.0,1523631716.0,2018-03-30 11:21:56.000
53,64.77,2018-03-30 11:18:48.460,1517.0,178.0,1523631775.0,2018-03-30 11:22:55.000
54,62.9,2018-03-30 11:19:44.590,1561.0,177.0,1523631834.0,2018-03-30 11:23:54.000
55,70.12,2018-03-30 11:20:40.720,1350.0,162.0,1523631893.0,2018-03-30 11:24:53.000
56,67.85,2018-03-30 11:21:36.850,1349.0,153.0,1523631952.0,2018-03-30 11:25:52.000
57,70.02,2018-03-30 11:22:32.990,1240.0,154.0,1523632011.0,2018-03-30 11:26:51.000
58,66.97,2018-03-30 11:23:29.120,1194.0,127.0,1523632071.0,2018-03-30 11:27:51.000
59,67.5,2018-03-30 11:24:25.250,1402.0,145.0,1523632130.0,2018-03-30 11:28:50.000
60,67.42,2018-03-30 11:25:21.380,1315.0,136.0,1523632189.0,2018-03-30 11:29:49.000
61,68.87,2018-03-30 11:26:17.520,1373.0,150.0,1523632248.0,2018-03-30 11:30:48.000
62,68.9,2018-03-30 11:27:13.650,1259.0,150.0,1523632307.0,2018-03-30 11:31:47.000
63,67.6,2018-03-30 11:28:09.780,1173.0,139.0,1523632366.0,2018-03-30 11:32:46.000
64,64.14,2018-03-30 11:29:05.910,1298.0,149.0,1523632425.0,2018-03-30 11:33:45.000
65,62.45,2018-03-30 11:30:02.040,1246.0,142.0,1523632484.0,2018-03-30 11:34:44.000
66,63.25,2018-03-30 11:30:58.180,1404.0,177.0,1523632544.0,2018-03-30 11:35:44.000
67,62.31,2018-03-30 11:31:54.310,1260.0,135.0,1523632603.0,2018-03-30 11:36:43.000
68,61.39,2018-03-30 11:32:50.440,1367.0,157.0,1523632662.0,2018-03-30 11:37:42.000
69,67.62,2018-03-30 11:33:46.570,1556.0,184.0,1523632721.0,2018-03-30 11:38:41.000
70,64.73,2018-03-30 11:34:42.700,1817.0,195.0,1523632780.0,2018-03-30 11:39:40.000
71,68.4,2018-03-30 11:35:38.840,1842.0,221.0,1523632839.0,2018-03-30 11:40:39.000
72,65.76,2018-03-30 11:36:34.970,1760.0,217.0,1523632898.0,2018-03-30 11:41:38.000
73,61.8,2018-03-30 11:37:31.100,1723.0,231.0,1523632957.0,2018-03-30 11:42:37.000
74,64.28,2018-03-30 11:38:27.230,1741.0,276.0,1523632958.0,2018-03-30 11:42:38.000
75,65.84,2018-03-30 11:39:23.360,1555.0,241.0,1523633017.0,2018-03-30 11:43:37.000
76,66.16,2018-03-30 11:40:19.500,1597.0,210.0,1523633076.0,2018-03-30 11:44:36.000
77,67.01,2018-03-30 11:41:15.630,1441.0,174.0,1523633135.0,2018-03-30 11:45:35.000
78,66.64,2018-03-30 11:42:11.760,1384.0,182.0,1523633194.0,2018-03-30 11:46:34.000
79,70.36,2018-03-30 11:43:07.890,1136.0,134.0,1523633253.0,2018-03-30 11:47:33.000
80,68.5,2018-03-30 11:44:04.020,1180.0,124.0,1523633312.0,2018-03-30 11:48:32.000
81,67.66,2018-03-30 11:45:00.160,1095.0,127.0,1523633372.0,2018-03-30 11:49:32.000
82,64.9,2018-03-30 11:45:56.290,1370.0,166.0,1523633431.0,2018-03-30 11:50:31.000
83,63.87,2018-03-30 11:46:52.420,1913.0,241.0,1523633490.0,2018-03-30 11:51:30.000
84,66.49,2018-03-30 11:47:48.550,1456.0,193.0,1523633549.0,2018-03-30 11:52:29.000
85,68.43,2018-03-30 11:48:44.680,1058.0,137.0,1523633608.0,2018-03-30 11:53:28.000
86,62.6,2018-03-30 11:49:40.820,1025.0,133.0,1523633667.0,2018-03-30 11:54:27.000
87,61.66,2018-03-30 11:50:36.950,1135.0,135.0,1523633726.0,2018-03-30 11:55:26.000
88,62.09,2018-03-30 11:51:33.080,1140.0,132.0,1523633786.0,2018-03-30 11:56:26.000
89,61.95,2018-03-30 11:52:29.210,1037.0,128.0,1523633845.0,2018-03-30 11:57:25.000
90,60.84,2018-03-30 11:53:25.350,929.0,123.0,1523633904.0,2018-03-30 11:58:24.000
91,62.0,2018-03-30 11:54:21.480,968.0,121.0,1523633963.0,2018-03-30 11:59:23.000
92,63.59,2018-03-30 11:55:17.610,1152.0,143.0,1523634022.0,2018-03-30 12:00:22.000
93,61.65,2018-03-30 11:56:13.740,1060.0,149.0,1523634081.0,2018-03-30 12:01:21.000
